Alphabetical Name,English Name,Scientific Name,Status
"Scaup, Lesser",Lesser Scaup,Aythya affinis,Rare/Accidental
"Scops-Owl, Eurasian",Eurasian Scops-Owl,Otus scops,
"Scoter, Black",Black Scoter,Melanitta americana,Rare/Accidental Near-threatened
"Scoter, Common",Common Scoter,Melanitta nigra,
"Scoter, Stejneger's",Stejneger's Scoter,Melanitta stejnegeri,Rare/Accidental
"Scoter, Surf",Surf Scoter,Melanitta perspicillata,Rare/Accidental
"Scoter, Velvet",Velvet Scoter,Melanitta fusca,Vulnerable
"Scoter, White-winged",White-winged Scoter,Melanitta deglandi,Rare/Accidental
"Scrub-Robin, Rufous-tailed",Rufous-tailed Scrub-Robin,Cercotrichas galactotes,Rare/Accidental
"Sea-Eagle, Steller's",Steller's Sea-Eagle,Haliaeetus pelagicus,Uncertain origin Vulnerable
"Serin, European",European Serin,Serinus serinus,
"Shag, European",European Shag,Gulosus aristotelis,
"Shearwater, Balearic",Balearic Shearwater,Puffinus mauretanicus,Rare/Accidental Critically endangered
"Shearwater, Cory's",Cory's Shearwater,Calonectris borealis,Rare/Accidental
"Shearwater, Great",Great Shearwater,Ardenna gravis,Rare/Accidental
"Shearwater, Manx",Manx Shearwater,Puffinus puffinus,
"Shearwater, Sooty",Sooty Shearwater,Ardenna grisea,Near-threatened
"Shelduck, Common",Common Shelduck,Tadorna tadorna,
"Shelduck, Ruddy",Ruddy Shelduck,Tadorna ferruginea,
"Shoveler, Northern",Northern Shoveler,Spatula clypeata,
"Shrike, Brown",Brown Shrike,Lanius cristatus,Rare/Accidental
"Shrike, Great Gray",Great Gray Shrike,Lanius excubitor,Rare/Accidental
"Shrike, Isabelline",Isabelline Shrike,Lanius isabellinus,Rare/Accidental
"Shrike, Lesser Gray",Lesser Gray Shrike,Lanius minor,Rare/Accidental
"Shrike, Long-tailed",Long-tailed Shrike,Lanius schach,Rare/Accidental
"Shrike, Masked",Masked Shrike,Lanius nubicus,Rare/Accidental
"Shrike, Northern",Northern Shrike,Lanius borealis,Rare/Accidental
"Shrike, Red-backed",Red-backed Shrike,Lanius collurio,
"Shrike, Red-tailed",Red-tailed Shrike,Lanius phoenicuroides,Rare/Accidental
"Shrike, Woodchat",Woodchat Shrike,Lanius senator,Near-threatened
"Siskin, Eurasian",Eurasian Siskin,Spinus spinus,
